Rank,Title,Issn
105,IEEE Journal on Selected Areas in Communications,7338716
106,Annual Review of Neuroscience,"0147006X, 15454126"
107,eLight,"26628643, 20971710"
108,"Lancet Neurology, The","14744465, 14744422"
109,Circulation,"00097322, 15244539"
110,Psychological Bulletin,"00332909, 19391455"
111,Nature Reviews Cardiology,"17595010, 17595002"
112,Journal of Accounting and Economics,1654101
113,Academy of Management Journal,14273
114,Nature Physics,17452473
115,Molecular Cancer,14764598
116,AI Open,26666510
117,Gut,"14683288, 00175749"
118,Foundations and Trends in Finance,"15672409, 15672395"
119,Synthesis Lectures on Communication Networks,19354185
120,Nature Microbiology,20585276
121,"Lancet Respiratory Medicine,The","22132619, 22132600"
122,Nature Biomedical Engineering,2157846X
123,Endocrine Reviews,"19457189, 0163769X"
124,Journal of Thoracic Oncology,"15561380, 15560864"
125,Nature Reviews Neuroscience,"14710048, 1471003X"
126,JAMA Oncology,"23742445, 23742437"
127,Nature Reviews Physics,25225820
128,"Lancet Psychiatry,The","22150374, 22150366"
129,Strategic Management Journal,"10970266, 01432095"
130,Progress in Materials Science,"18732208, 00796425"
131,Review of Finance,"1573692X, 15723097"
132,ACM Transactions on Graphics,"15577368, 07300301"
133,Cell Host and Microbe,"19346069, 19313128"
134,Neuron,"10974199, 08966273"
135,Nature Climate Change,"17586798, 1758678X"
136,Annual Review of Organizational Psychology and Organizational Behavior,23270608
137,Annual Review of Plant Biology,"15452123, 15435008"
138,Review of Economics and Statistics,"00346535, 15309142"
139,Journal of Management,"01492063, 15571211"
140,Cancer Discovery,"21598274, 21598290"
141,Journal of Hematology and Oncology,17568722
142,Journal of Economic Perspectives,8953309
143,Living Reviews in Solar Physics,"16144961, 23673648"
144,Nature Protocols,17542189
145,Annual Review of Genetics,"15452948, 00664197"
146,Nature Sustainability,23989629
147,Gastroenterology,"15280012, 00165085"
148,Annual Review of Clinical Psychology,"15485951, 15485943"
149,"Lancet Digital Health, The",25897500
150,Nature Reviews Endocrinology,"17595037, 17595029"
151,The Innovation,26666758
152,ACS Energy Letters,23808195
153,Genome Biology,14747596
154,Journal of the Academy of Marketing Science,"00920703, 15527824"
155,Nature Metabolism,25225812
156,Annals of Mathematics,0003486X
157,Nature Structural and Molecular Biology,"15459993, 15459985"
158,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,"16181913, 00738301"
159,Nucleic Acids Research,"03051048, 13624962"
160,Nature Chemistry,"17554330, 17554349"
161,European Urology,"18737560, 03022838"
162,Annual Review of Physiology,"00664278, 15451585"
163,Journal of Experimental Medicine,"00221007, 15409538"
164,Materials Science and Engineering: R: Reports,0927796X
165,Electrochemical Energy Reviews,"25208136, 25208489"
166,Fungal Diversity,"15602745, 18789129"
167,Clinical Microbiology Reviews,"08938512, 10986618"
168,Organizational Research Methods,"15527425, 10944281"
169,International Journal of Computer Vision,"09205691, 15731405"
170,Journal of the European Economic Association,"15424774, 15424766"
171,Journal of Accounting Research,"1475679X, 00218456"
172,Science Robotics,24709476
173,Journal of Monetary Economics,3043932
174,Chem,"24519308, 24519294"
175,American Economic Journal: Economic Policy,"19457731, 1945774X"
176,Science Translational Medicine,"19466234, 19466242"
177,Nano-Micro Letters,"23116706, 21505551"
178,Annual Review of Cell and Developmental Biology,"15308995, 10810706"
179,Journal of Applied Psychology,"19391854, 00219010"
180,Physics Reports,3701573
181,Journal of the American Mathematical Society,"10886834, 08940347"
182,Neuro-Oncology,"15228517, 15235866"
183,"Lancet Infectious Diseases, The","14744457, 14733099"
184,Review of Asset Pricing Studies,"20459920, 20459939"
185,ACM Computing Surveys,"03600300, 15577341"
186,Advances in Methods and Practices in Psychological Science,"25152459, 25152467"
187,JAMA Psychiatry,"21686238, 2168622X"
188,Nature Reviews Neurology,"17594766, 17594758"
189,Intensive Care Medicine,"14321238, 03424642"
190,JAMA Cardiology,"23806583, 23806591"
191,"Lancet Global Health,The",2214109X
192,Progress in Polymer Science,796700
193,Advanced Powder Materials,2772834X
194,JAMA Neurology,"21686157, 21686149"
195,IEEE Transactions on Pattern Analysis and Machine Intelligence,1628828
196,"Philosophical Review, The",318108
197,Annals of the Rheumatic Diseases,"00034967, 14682060"
198,Progress in Energy and Combustion Science,3601285
199,Nature Human Behaviour,23973374
200,Proceedings of the IEEE,"15582256, 00189219"
201,Journal of Labor Economics,"0734306X, 15375307"
202,Foundations and Trends in Signal Processing,"19328346, 19328354"
203,Pharmacological Reviews,"15210081, 00316997"
204,Trends in Cell Biology,"09628924, 18793088"
205,Journal of Marketing Research,"00222437, 15477193"
206,Molecular Plant,"16742052, 17529867"
207,Materials Today,"13697021, 18734103"
208,Accounts of Chemical Research,"00014842, 15204898"
209,Nature Machine Intelligence,25225839
210,Nature Reviews Nephrology,"1759507X, 17595061"
211,JAMA - Journal of the American Medical Association,"15383598, 00987484"
212,IEEE Wireless Communications,15361284
213,Progress in Retinal and Eye Research,"13509462, 18731635"
214,European Journal of Heart Failure,"13889842, 18790844"
215,Annual Review of Entomology,"00664170, 15454487"
216,Physical Review X,21603308
217,Nature Geoscience,"17520908, 17520894"
218,Developmental Cell,"15345807, 18781551"
219,Annual Review of Political Science,"10942939, 15451577"
220,Entrepreneurship Theory and Practice,"10422587, 15406520"
221,International Journal of Information Management,2684012
222,Review of Educational Research,"00346543, 19351046"
223,JACC: Heart Failure,"22131787, 22131779"
224,Nature Aging,26628465
225,Diabetes Care,"19355548, 01495992"
226,InfoMat,25673165
227,Clinical Psychology Review,"18737811, 02727358"
228,Information Fusion,"18726305, 15662535"
229,Marketing Science,"07322399, 1526548X"
230,IEEE Transactions on Cybernetics,"21682275, 21682267"
231,Organization Science,"15265455, 10477039"
232,IEEE Communications Magazine,1636804
233,NCHS data brief,"19414927, 19414935"
234,Perspectives on Psychological Science,"17456916, 17456924"
235,Annual Review of Biophysics,"19361238, 1936122X"
236,Nature Chemical Biology,"15524469, 15524450"
237,Nature Reviews Psychology,27310574
238,Annual Review of Environment and Resources,"15452050, 15435938"
239,Advanced Functional Materials,1616301X
240,JAMA Pediatrics,"21686211, 21686203"
241,EMBO Journal,"02614189, 14602075"
242,Journal of the American Chemical Society,"15205126, 00027863"
243,Review of Accounting Studies,"15737136, 13806653"
244,Annual Review of Medicine,"1545326X, 00664219"
245,Manufacturing and Service Operations Management,"15265498, 15234614"
246,Annual Review of Earth and Planetary Sciences,846597
247,Annual Review of Public Health,"01637525, 15452093"
248,Management Science,"00251909, 15265501"
249,Journal of Consumer Research,"00935301, 15375277"
250,Review of Corporate Finance Studies,"20469136, 20469128"
251,"Annual Review of Ecology, Evolution, and Systematics",1543592X
252,"Lancet Microbe, The",26665247
253,Energy Storage Materials,24058297
254,IEEE Transactions on Wireless Communications,"15361276, 15582248"
255,Advanced Photonics,25775421
256,Organization Studies,"17413044, 01708406"
257,American Journal of Respiratory and Critical Care Medicine,"1073449X, 15354970"
258,Annals of Statistics,905364
259,Molecular Systems Biology,17444292
260,Angewandte Chemie - International Edition,"14337851, 15213773"
261,EnergyChem,25897780
262,Blood,"15280020, 00064971"
263,IEEE Transactions on Evolutionary Computation,1089778X
264,Molecular Neurodegeneration,17501326
265,Mycosphere,"20777019, 20777000"
266,Carbon Energy,26379368
267,Reports on Progress in Physics,"13616633, 00344885"
268,Light: Science and Applications,20477538
269,Trends in Ecology and Evolution,"01695347, 18728383"
270,Journal of Public Economics,472727
271,Nature Plants,"2055026X, 20550278"
272,Brookings Papers on Economic Activity,"00072303, 15334465"
273,Applied Catalysis B: Environmental,"18733883, 09263373"
274,Psychotherapy and Psychosomatics,"00333190, 14230348"
275,American Political Science Review,"15375943, 00030554"
276,"Lancet Planetary Health, The",25425196
277,Nature Ecology and Evolution,2397334X
278,Matter,"25902393, 25902385"
279,Analytic Methods in Accident Research,22136657
280,Foundations and Trends in Systems and Control,"23256826, 23256818"
281,Genes and Development,"15495477, 08909369"
282,Hepatology,"02709139, 15273350"
283,Journal of the National Cancer Institute,"14602105, 00278874"
284,Genome Medicine,1756994X
285,Radiocarbon,338222
286,"Lancet Regional Health - Europe, The",26667762
287,PRX Quantum,26913399
288,Foundations and Trends in Computer Graphics and Vision,15722740
289,Cancer Communications,25233548
290,Journal of Service Research,"10946705, 15527379"
291,International Organization,"15315088, 00208183"
292,Circulation Research,"00097330, 15244571"
293,IEEE Signal Processing Magazine,10535888
294,Annual Review of Marine Science,"19410611, 19411405"
295,Nature Food,26621355
296,Trends in Neurosciences,"01662236, 1878108X"
297,Nature Communications,20411723
298,Cell Systems,"24054720, 24054712"
299,IEEE Transactions on Smart Grid,19493053
300,Annual Review of Financial Economics,"19411367, 19411375"
301,Cellular and Molecular Immunology,"20420226, 16727681"
302,Journal of Clinical Investigation,"00219738, 15588238"
303,Studies in Mycology,1660616
304,Nature reviews. Rheumatology,"17594790, 17594804"
305,Acta Mathematica,15962
306,Journal of Business Venturing,8839026
307,Personality and Social Psychology Review,"10888683, 15327957"
308,Cement and Concrete Research,88846
309,Nature Synthesis,27310582
310,Trends in Cognitive Sciences,"1879307X, 13646613"
311,Periodontology 2000,"09066713, 16000757"
312,Acta Neuropathologica,"00016322, 14320533"
313,Quantitative Economics,"17597323, 17597331"
314,Educational Psychologist,"15326985, 00461520"
315,Annual Review of Physical Chemistry,"0066426X, 15451593"
316,IEEE/CAA Journal of Automatica Sinica,"23299266, 23299274"
317,British Journal of Sports Medicine,"03063674, 14730480"
318,Handbook of Industrial Organization,1573448X
319,Brain,"14602156, 00068950"
320,Nano Energy,22112855
321,Progress in Particle and Nuclear Physics,1466410
322,Drug Resistance Updates,"13687646, 15322084"
323,Ophthalmology,"15494713, 01616420"
324,Accounting Review,"00014826, 15587967"
325,Blood cancer discovery,"26433230, 26433249"
326,JACC: Cardiovascular Imaging,"1936878X, 18767591"
327,"Annual Review of Control, Robotics, and Autonomous Systems",25735144
328,American Journal of Political Science,"00925853, 15405907"
329,Clinical Cancer Research,"10780432, 15573265"
330,GigaScience,2047217X
331,Political Analysis,"10471987, 14764989"
332,Computational Visual Media,"20960662, 20960433"
333,Journal of International Business Studies,"00472506, 14786990"
334,ACS Nano,"1936086X, 19360851"
335,Carbon Research,27316696
336,Journal of International Economics,"18730353, 00221996"
337,Journal of Management Studies,"00222380, 14676486"
338,Academy of Management Perspectives,15589080
339,Annual Review of Nuclear and Particle Science,1638998
340,Journal of Human Resources,"15488004, 0022166X"
341,American Journal of Human Genetics,"15376605, 00029297"
342,Trends in Cancer,"24058033, 24058025"
343,Economic Journal,"14680297, 00130133"
344,IEEE Transactions on Automatic Control,"00189286, 15582523"
345,Ecology Letters,"1461023X, 14610248"
346,Foundations and Trends in Information Retrieval,"15540669, 15540677"
347,Science advances,23752548
348,IEEE Transactions on Industrial Informatics,15513203
349,Protein Science,"1469896X, 09618368"
350,"Lancet HIV,The",23523018
351,Protein and Cell,"16748018, 1674800X"
352,Accounts of Materials Research,26436728
353,Genome Research,"15495469, 10889051"
354,Health Affairs,"02782715, 15445208"
355,Qualitative Research in Psychology,"14780895, 14780887"
356,Leadership Quarterly,10489843
357,IEEE Transactions on Sustainable Energy,"19493029, 19493037"
358,JAMA Internal Medicine,"21686114, 21686106"
359,Annual Review of Genomics and Human Genetics,"15278204, 1545293X"
360,Biological Reviews,"1469185X, 14647931"
361,Quarterly Journal of the Royal Meteorological Society,"1477870X, 00359009"
362,International Journal of Robotics Research,"02783649, 17413176"
363,SmartMat,"27668525, 2688819X"
364,Journal of the Royal Statistical Society. Series B: Statistical Methodology,"14679868, 13697412"
365,"Lancet Healthy Longevity, The",26667568
366,American Journal of Psychiatry,"0002953X, 15357228"
367,Educational Psychology Review,"1040726X, 1573336X"
368,Inventiones Mathematicae,"00209910, 14321297"
369,Journal of the American Academy of Child and Adolescent Psychiatry,"08908567, 15275418"
370,Journal of Urban Economics,"10959068, 00941190"
371,Remote Sensing of Environment,344257
372,IEEE Transactions on Communications,15580857
373,PhotoniX,26621991
374,American Sociological Review,"00031224, 19398271"
375,Global Change Biology,"13652486, 13541013"
376,Cell Reports,22111247
377,Cell Reports Medicine,26663791
378,npj Digital Medicine,23986352
379,Journal of Extracellular Vesicles,20013078
380,Psychological Methods,"1082989X, 19391463"
381,Earth System Science Data,"18663516, 18663508"
382,"Lancet Child and Adolescent Health, The",23524642
383,IEEE Transactions on Fuzzy Systems,10636706
384,"Vital and health statistics. Series 2, Data evaluation and methods research","00832057, 23330872"
385,Cell Discovery,20565968
386,PLoS Medicine,"15491277, 15491676"
387,Communications on Pure and Applied Mathematics,"00103640, 10970312"
388,Information Systems Research,"15265536, 10477047"
389,IEEE Transactions on Neural Networks and Learning Systems,"2162237X, 21622388"
390,Trends in Immunology,"14714906, 14714981"
391,Coordination Chemistry Reviews,108545
392,Medical Image Analysis,"13618415, 13618423"
393,MIS Quarterly: Management Information Systems,"02767783, 21629730"
394,Cell Death and Differentiation,"13509047, 14765403"
395,Journal of the National Comprehensive Cancer Network : JNCCN,"15401413, 15401405"
396,European Heart Journal,"15229645, 0195668X"
397,Annual Review of Microbiology,"00664227, 15453251"
398,Human Reproduction Update,"14602369, 13554786"
399,Trends in Biochemical Sciences,"13624326, 09680004"
400,Molecular Biology and Evolution,"15371719, 07374038"
401,Communication Methods and Measures,"19312466, 19312458"
402,Autophagy,15548627
403,Annual Review of Virology,"23270578, 2327056X"
404,Transactions of the Association for Computational Linguistics,2307387X
405,Aggregate,"27668541, 26924560"
406,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","21682216, 21682232"
407,Journal of Financial and Quantitative Analysis,"00221090, 17566916"
408,Blood Cancer Journal,20445385
409,EMBO Molecular Medicine,"17574676, 17574684"
410,Annual Review of Pharmacology and Toxicology,"15454304, 03621642"
411,Educational Researcher,0013189X
412,eLife,2050084X
413,"Lancet Haematology,The",23523026
414,Journal of the American Statistical Association,"01621459, 1537274X"
415,Journal of Retailing,224359
416,Advanced Science,21983844
417,Strategic Organization,"1741315X, 14761270"
418,JAMA Surgery,"21686262, 21686254"
419,IEEE Network,"08908044, 1558156X"
420,Molecular Psychiatry,"14765578, 13594184"
421,Kidney International,"00852538, 15231755"
422,Educational Research Review,1747938X
423,Contemporary Educational Psychology,"0361476X, 10902384"
424,RAND Journal of Economics,"17562171, 07416261"
425,ACS Catalysis,21555435
426,American Economic Journal: Microeconomics,"19457669, 19457685"
427,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,1936530
428,IEEE Transactions on Power Systems,8858950
429,European Journal of Information Systems,"0960085X, 14769344"
430,PLoS Biology,"15449173, 15457885"
431,IEEE Journal on Selected Topics in Signal Processing,19324553
432,European Respiratory Journal,"09031936, 13993003"
433,Academy of Management Discoveries,21681007
434,Microbiome,20492618
435,Advances in Applied Energy,26667924
436,Sociological Methods and Research,"00491241, 15528294"
437,Biological Psychiatry,"00063223, 18732402"
438,Cancer Immunology Research,"23266066, 23266074"
439,Duke Mathematical Journal,"15477398, 00127094"
440,Annual Review of Cancer Biology,24723428
441,Personnel Psychology,"00315826, 17446570"
442,ISPRS Journal of Photogrammetry and Remote Sensing,9242716
443,Journal of Development Economics,3043878
444,Proceedings of the National Academy of Sciences of the United States of America,"10916490, 00278424"
445,Molecular Therapy,"15250024, 15250016"
446,Journal for ImmunoTherapy of Cancer,20511426
447,ACS Central Science,"23747951, 23747943"
448,Journal of Cell Biology,"15408140, 00219525"
449,"Lancet Rheumatology, The",26659913
450,Current Climate Change Reports,21986061
451,Nature Cardiovascular Research,27310590
452,Arthritis and Rheumatology,"23265191, 23265205"
453,Archive for Rational Mechanics and Analysis,"00039527, 14320673"
454,IEEE Transactions on Medical Imaging,"02780062, 1558254X"
455,Journal of Allergy and Clinical Immunology,"10976825, 00916749"
456,ISME Journal,"17517362, 17517370"
457,Radiology,"00338419, 15271315"
458,Trends in Genetics,"01689525, 13624555"
459,Computer Science Review,15740137
460,Eco-Environment and Health,27729850
461,Experimental and Molecular Medicine,"12263613, 20926413"
462,IEEE Transactions on Robotics,15523098
463,Cancer Treatment Reviews,"03057372, 15321967"
464,Business Strategy and the Environment,"10990836, 09644733"
465,Leukemia,"08876924, 14765551"
466,Earth-Science Reviews,128252
467,Computers and Education,3601315
468,Cement and Concrete Composites,9589465
469,Structural Equation Modeling,"15328007, 10705511"
470,IEEE Transactions on Power Electronics,8858993
471,Progress in Lipid Research,"18732194, 01637827"
472,Strategic Entrepreneurship Journal,"19324391, 1932443X"
473,Advanced Composites and Hybrid Materials,"25220128, 25220136"
474,Health systems in transition,"18176127, 18176119"
475,Plant Cell,"1532298X, 10404651"
476,Applied Physics Reviews,19319401
477,Journal of Personality and Social Psychology,223514
478,Annals of Neurology,"15318249, 03645134"
479,Harvard Kennedy School Misinformation Review,27661652
480,Liver Cancer,"22351795, 16645553"
481,Geometric and Functional Analysis,"14208970, 1016443X"
482,Human Relations,"00187267, 1741282X"
483,Renewable and Sustainable Energy Reviews,"13640321, 18790690"
484,Water Research,"00431354, 18792448"
485,Review of Economic Dynamics,"10966099, 10942025"
486,Energy Material Advances,26927640
487,Sleep Medicine Reviews,"15322955, 10870792"
488,Current Opinion in Cell Biology,"09550674, 18790410"
489,IEEE Transactions on Image Processing,10577149
490,Energy Economics,"01409883, 18736181"
491,Immunological Reviews,"01052896, 1600065X"
492,Optica,23342536
493,Journal of Consumer Psychology,"15327663, 10577408"
494,eClinicalMedicine,25895370
495,Research Synthesis Methods,"17592879, 17592887"
496,Environmental Science &amp; Technology,"0013936X, 15205851"
497,Health Psychology Review,"17437202, 17437199"
498,Circulation: Heart Failure,"19413297, 19413289"
499,Automatica,51098
500,Energy and Environmental Materials,"25750348, 25750356"
501,Sports Medicine,"01121642, 11792035"
502,Comparative Political Studies,"15523829, 00104140"
503,Journal of World Business,10909516
504,Nano Today,"1878044X, 17480132"
505,International Journal of Machine Tools and Manufacture,8906955
506,JAMA network open,25743805
507,Wiley Interdisciplinary Reviews: Computational Molecular Science,"17590876, 17590884"
508,Theoretical Economics,15557561
509,Cancer Research,"00085472, 15387445"
510,Bioactive Materials,2452199X
511,Journal of Advanced Ceramics,"22278508, 22264108"
512,Chem Catalysis,"26671093, 26671107"
513,Soil Biology and Biochemistry,380717
514,Stata Journal,1536867X
515,Annals of Tourism Research,1607383
516,Advanced Drug Delivery Reviews,"0169409X, 18728294"
517,Nano Letters,"15306992, 15306984"
518,JHEP Reports,25895559
519,Journal of the American Society of Nephrology : JASN,"15333450, 10466673"
520,Journal of Travel Research,"15526763, 00472875"
521,Alcohol research : current reviews,"21694796, 21683492"
522,Journal of Product Innovation Management,"15405885, 07376782"
523,Advanced Fiber Materials,"25247921, 2524793X"
524,IEEE Transactions on Industrial Electronics,2780046
525,One Earth,"25903330, 25903322"
526,Journal of Business and Economic Statistics,"07350015, 15372707"
527,IEEE Internet of Things Journal,23274662
528,Bone Research,"20954700, 20956231"
529,"Genomics, Proteomics and Bioinformatics","16720229, 22103244"
530,Ageing Research Reviews,"15681637, 18729649"
531,Materials Horizons,"20516347, 20516355"
532,Opto-Electronic Advances,20964579
533,Evolution Letters,20563744
534,Journal of Innovation and Knowledge,"2444569X, 25307614"
535,IEEE Transactions on Cognitive Communications and Networking,23327731
536,Translational Neurodegeneration,20479158
537,EcoMat,25673173
538,Biometrika,"14643510, 00063444"
539,American Psychologist,"0003066X, 1935990X"
540,Progress in Human Geography,"14770288, 03091325"
541,Diabetologia,"0012186X, 14320428"
542,Journal of Interactive Marketing,"10949968, 15206653"
543,International Journal of Research in Marketing,1678116
544,Tourism Management,2615177
545,Political Communication,"10584609, 10917675"
546,Small,"16136829, 16136810"
547,Trends in Chemistry,25895974
548,Journal of Hospitality Marketing and Management,"19368631, 19368623"
549,Annals of Internal Medicine,"15393704, 00034819"
550,Circulation: Arrhythmia and Electrophysiology,"19413084, 19413149"
551,European Journal of Political Research,"03044130, 14756765"
552,California Management Review,"21628564, 00081256"
553,"Astrophysical Journal, Supplement Series","15384365, 00670049"
554,Sustainable Technology and Entrepreneurship,27730328
555,Proceedings of the Annual ACM Symposium on Theory of Computing,7378017
556,British Journal of Political Science,"00071234, 14692112"
557,Mucosal Immunology,"19353456, 19330219"
558,Higher Education for the Future,"23485779, 23476311"
559,Nature Astronomy,23973366
560,Review of Environmental Economics and Policy,"17506824, 17506816"
561,Clinical Infectious Diseases,"15376591, 10584838"
562,Small Science,26884046
563,Human Resource Management Review,10534822
564,Seminars in Cancer Biology,"10963650, 1044579X"
565,Strategy Science,"23332077, 23332050"
566,Frontiers in Ecology and the Environment,"15409295, 15409309"
567,Angiogenesis,"15737209, 09696970"
568,European Review of Social Psychology,"10463283, 1479277X"
569,IMF Economic Review,"2041417X, 20414161"
570,Journal of Advances in Modeling Earth Systems,19422466
571,iMeta,"2770596X, 27705986"
572,"Forum of Mathematics, Pi",20505086
573,Microbiology and Molecular Biology Reviews,"10985557, 10922172"
574,Artificial Intelligence Review,"02692821, 15737462"
575,Monographs of the Society for Research in Child Development,"0037976X, 15405834"
576,Med,"26666359, 26666340"
577,Journal of the European Mathematical Society,"14359855, 14359863"
578,Econometrics Journal,"13684221, 1368423X"
579,Wiley Interdisciplinary Reviews: Climate Change,"17577799, 17577780"
580,International Materials Reviews,"09506608, 17432804"
581,Trends in Pharmacological Sciences,"18733735, 01656147"
582,Journal of Strategic Information Systems,9638687
583,Computers and Education: Artificial Intelligence,2666920X
584,Alzheimer's and Dementia,"15525279, 15525260"
585,Annual Review of Nutrition,"01999885, 15454312"
586,Memoirs of the American Mathematical Society,659266
587,Journal of Supply Chain Management,"15232409, 1745493X"
588,Research Policy,487333
589,Trends in Molecular Medicine,"1471499X, 14714914"
590,Journal of Economic Theory,"10957235, 00220531"
591,Global Strategy Journal,20425805
592,Trends in Plant Science,"13601385, 18784372"
593,Annals of Probability,911798
594,JAMA Dermatology,"21686068, 21686084"
595,eBioMedicine,23523964
596,EMBO Reports,"14693178, 1469221X"
597,JACC: Clinical Electrophysiology,2405500X
598,Journal of Organizational Behavior,"10991379, 08943796"
599,European Journal of Epidemiology,"03932990, 15737284"
600,Critical Reviews in Environmental Science and Technology,"15476537, 10643389"
601,Journal of Corporate Finance,9291199
602,Conservation Letters,1755263X
603,Journal of Manufacturing Systems,2786125
604,Journal of Energy Chemistry,20954956
605,Earth System Dynamics,"21904979, 21904987"
606,Pharmacology and Therapeutics,"1879016X, 01637258"
607,Public Administration Review,"00333352, 15406210"
608,Ultrafast Science,"20970331, 27658791"
609,"Brain, Behavior, and Immunity","10902139, 08891591"
610,Cold Spring Harbor perspectives in biology,19430264
611,Journal of Child Psychology and Psychiatry and Allied Disciplines,"00219630, 14697610"
612,Clinical and Molecular Hepatology,"22872728, 2287285X"
613,Journal of Business Research,1482963
614,Kidney International Supplements,"21571716, 21571724"
615,Plant Communications,25903462
616,Organizational Behavior and Human Decision Processes,"07495978, 10959920"
617,IEEE Geoscience and Remote Sensing Magazine,"24732397, 21686831"
618,Technological Forecasting and Social Change,401625
619,Annual Review of Sociology,"03600572, 15452115"
